Method	IntegrationMethod	Type	Mean	SD	Integration
Wilcoxon	gpsa	Overall	0.34332098923332854	0.022999126855718102	GPSA
Wilcoxon	scvi	Alignment	0.7938048896534446	0.1467046036037919	scVI
Wilcoxon	scvi	Clustering	0.6015391557282286	0.11062978254973461	scVI
Wilcoxon	scvi	Integration	0.5658376707736918	0.13531673594449353	scVI
Wilcoxon	scvi	Overall	0.6537272387184551	0.09512324730166315	scVI
Wilcoxon	staligner	Alignment	0.7194649751710204	0.20807413108645798	STAligner
Wilcoxon	staligner	Clustering	0.5361870502721825	0.08696562266593744	STAligner
Wilcoxon	staligner	Integration	0.6490798847322704	0.1314100780006107	STAligner
Wilcoxon	staligner	Overall	0.6349106367251578	0.10495282433840404	STAligner
scPNMF	cellcharter	Alignment	0.7978321868528181	0.17760393772221322	Cell
Charter
scPNMF	cellcharter	Clustering	0.7052856466695279	0.06519834300512171	Cell
Charter
scPNMF	cellcharter	Integration	0.606385217690506	0.33315354115253165	Cell
Charter
scPNMF	cellcharter	Overall	0.7672377373081675	0.07425324177487737	Cell
Charter
scPNMF	gpsa	Alignment	0.5281329416189469	0.10378810628404558	GPSA
scPNMF	gpsa	Clustering	0.01575183131112354	0.015417274535981395	GPSA
scPNMF	gpsa	Integration	0.6595603526313601	0.21645552761707532	GPSA
scPNMF	gpsa	Overall	0.3608297665930868	0.047093359040565747	GPSA
scPNMF	scvi	Alignment	0.7034017326423455	0.19193916785723023	scVI
scPNMF	scvi	Clustering	0.5565719769991995	0.1466639738341966	scVI
scPNMF	scvi	Integration	0.601011984392355	0.133899844905434	scVI
scPNMF	scvi	Overall	0.6368300014493327	0.10477146989972223	scVI
scPNMF	staligner	Alignment	0.7301262375921054	0.2458153451655303	STAligner
scPNMF	staligner	Clustering	0.6067845535847425	0.10346866972363224	STAligner
scPNMF	staligner	Integration	0.5597958555093796	0.21207096522834173	STAligner
scPNMF	staligner	Overall	0.6588190604256163	0.12425812849540124	STAligner
scSEGIndex	cellcharter	Alignment	0.7938767673894493	0.1654206683324516	Cell
Charter
scSEGIndex	cellcharter	Clustering	0.6792200920059506	0.08507910643351575	Cell
Charter
scSEGIndex	cellcharter	Integration	0.5974434881672913	0.2984398443797234	Cell
Charter
scSEGIndex	cellcharter	Overall	0.7484066395092048	0.08750106852771682	Cell
Charter
scSEGIndex	gpsa	Alignment	0.5287218187943323	0.10356823255249767	GPSA
scSEGIndex	gpsa	Clustering	0.035370862883300484	0.05921547879863785	GPSA
scSEGIndex	gpsa	Integration	0.6496352618071076	0.19811171337158195	GPSA
scSEGIndex	gpsa	Overall	0.36136009874874525	0.04606674881624989	GPSA
scSEGIndex	scvi	Alignment	0.5498007344030704	0.19795304126617	scVI
scSEGIndex	scvi	Clustering	0.5020508856818732	0.11053532003890519	scVI
scSEGIndex	scvi	Integration	0.4593071540284265	0.1907029808369509	scVI
scSEGIndex	scvi	Overall	0.49408734137699467	0.09913893357337071	scVI
scSEGIndex	staligner	Alignment	0.7019273281937213	0.21243915837020785	STAligner
scSEGIndex	staligner	Clustering	0.5333938729879626	0.10834923647839047	STAligner
scSEGIndex	staligner	Integration	0.5165383379187746	0.1846915104646963	STAligner
scSEGIndex	staligner	Overall	0.6042304011399787	0.11515272123490129	STAligner
scanpy-CellRanger	cellcharter	Alignment	0.7787801776444992	0.2088320942875456	Cell
Charter
scanpy-CellRanger	cellcharter	Clustering	0.7059582791496161	0.07634799227787471	Cell
Charter
scanpy-CellRanger	cellcharter	Integration	0.6085184575989637	0.3017938679021578	Cell
Charter
scanpy-CellRanger	cellcharter	Overall	0.7511705331564511	0.10225100513402054	Cell
Charter
scanpy-CellRanger	gpsa	Alignment	0.5297292935327738	0.10328887148152069	GPSA
scanpy-CellRanger	gpsa	Clustering	0.02079017397422017	0.015471132516350664	GPSA
scanpy-CellRanger	gpsa	Integration	0.66049553634931	0.2154620075286697	GPSA
scanpy-CellRanger	gpsa	Overall	0.3638864935310132	0.04420581495284893	GPSA
scanpy-CellRanger	scvi	Alignment	0.7657786423039278	0.22333281628330243	scVI
scanpy-CellRanger	scvi	Clustering	0.5310594959175122	0.19670583381071713	scVI
scanpy-CellRanger	scvi	Integration	0.6686989472279199	0.10264569153999613	scVI
scanpy-CellRanger	scvi	Overall	0.6809402034280392	0.14607740021103338	scVI
scanpy-CellRanger	staligner	Alignment	0.7305356055105217	0.28482805383021836	STAligner
scanpy-CellRanger	staligner	Clustering	0.6152116137761124	0.14729581749095116	STAligner
scanpy-CellRanger	staligner	Integration	0.5611653046948067	0.2431876532283899	STAligner
scanpy-CellRanger	staligner	Overall	0.6611219657996517	0.16084328801460346	STAligner
scanpy-CellRanger (batch)	cellcharter	Alignment	0.7771940672835911	0.20987457966744338	Cell
Charter
scanpy-CellRanger (batch)	cellcharter	Clustering	0.685742504487821	0.059042756869833575	Cell
Charter
scanpy-CellRanger (batch)	cellcharter	Integration	0.6170736380561411	0.3075650271960343	Cell
Charter
scanpy-CellRanger (batch)	cellcharter	Overall	0.7487059784044003	0.09306109889639567	Cell
Charter
scanpy-CellRanger (batch)	gpsa	Alignment	0.5339649963825591	0.08549010196121251	GPSA
scanpy-CellRanger (batch)	gpsa	Clustering	0.031983969319685265	0.04568559394808057	GPSA
scanpy-CellRanger (batch)	gpsa	Integration	0.664252586472253	0.21442580274210787	GPSA
scanpy-CellRanger (batch)	gpsa	Overall	0.37218384986373176	0.04835216116356408	GPSA
scanpy-CellRanger (batch)	scvi	Alignment	0.7780166050970365	0.19806410049973705	scVI
scanpy-CellRanger (batch)	scvi	Clustering	0.5375625365977362	0.18603046130575515	scVI
scanpy-CellRanger (batch)	scvi	Integration	0.6556620641677785	0.10401061063688712	scVI
scanpy-CellRanger (batch)	scvi	Overall	0.6838240915950878	0.13245347298767393	scVI
scanpy-CellRanger (batch)	staligner	Alignment	0.7313486138704907	0.2777024475623175	STAligner
scanpy-CellRanger (batch)	staligner	Clustering	0.6295985281940673	0.1528184437078983	STAligner
scanpy-CellRanger (batch)	staligner	Integration	0.5605393707910189	0.25150111104257555	STAligner
scanpy-CellRanger (batch)	staligner	Overall	0.6678060272438098	0.1634143500870308	STAligner
scanpy-Pearson	cellcharter	Alignment	0.6543541195365002	0.3678823567731041	Cell
Charter
scanpy-Pearson	cellcharter	Clustering	0.6395709589000053	0.1696513380212476	Cell
Charter
scanpy-Pearson	cellcharter	Integration	0.5416172166367799	0.3284838388789937	Cell
Charter
scanpy-Pearson	cellcharter	Overall	0.6599380048637847	0.2308041571673689	Cell
Charter
scanpy-Pearson	gpsa	Alignment	0.5242293865232087	0.09098455358958529	GPSA
scanpy-Pearson	gpsa	Clustering	0.017140095549026898	0.013612502849514643	GPSA
scanpy-Pearson	gpsa	Integration	0.6601049676037831	0.2158753136474328	GPSA
scanpy-Pearson	gpsa	Overall	0.36055902588665906	0.041707500378713215	GPSA
scanpy-Pearson	scvi	Alignment	0.5583179485156852	0.31633983981416525	scVI
scanpy-Pearson	scvi	Clustering	0.5104115265240913	0.17880580504795415	scVI
scanpy-Pearson	scvi	Integration	0.5081868511934987	0.2242923480086887	scVI
scanpy-Pearson	scvi	Overall	0.532328498931801	0.19195624169863693	scVI
scanpy-Pearson	staligner	Alignment	0.5896287989559141	0.34084673501059104	STAligner
