dataset	fs_method	n_features	integration_method	task	metric_name	ValueMeanRaw	ValueSDRaw	OrientedMean	OrientedSD	NSeeds	EffectiveFeaturesMin	EffectiveFeaturesMax	RuntimeMean
DLPFC	Brennecke	2000	scvi	clustering_eval	nmi	0.26539948213333336	0.008122971980795025	0.26539948213333336	0.008122971980795025	3	2000	2000	30.677299316366668
DLPFC	Brennecke	2000	scvi	clustering_eval	silhouette	0.20910004279999997	0.007585019977788787	0.20910004279999997	0.007585019977788787	3	2000	2000	30.677299316366668
DLPFC	Brennecke	2000	scvi	integration_eval	GC	0.8354568590000001	0.013113209683775657	0.8354568590000001	0.013113209683775657	3	2000	2000	32.3716786398
DLPFC	Brennecke	2000	scvi	integration_eval	ILL	0.3911018979666667	0.012152269819940706	0.3911018979666667	0.012152269819940706	3	2000	2000	32.3716786398
DLPFC	Brennecke	2000	scvi	integration_eval	bASW	0.9716044045333333	0.0035826668089349806	0.9716044045333333	0.0035826668089349806	3	2000	2000	32.3716786398
DLPFC	Brennecke	2000	scvi	integration_eval	dASW	0.49494601126666665	0.004371178940620091	0.49494601126666665	0.004371178940620091	3	2000	2000	32.3716786398
DLPFC	Brennecke	2000	scvi	integration_eval	dLISI	0.7959038611666666	0.008228097530494388	0.7959038611666666	0.008228097530494388	3	2000	2000	32.3716786398
DLPFC	Brennecke	2000	scvi	integration_eval	iLISI	0.5410448170666666	0.02542328310984311	0.5410448170666666	0.02542328310984311	3	2000	2000	32.3716786398
DLPFC	Brennecke	500	cellcharter	alignment_eval	Accuracy	0.629		0.629		1	500	500	67.0283147609
DLPFC	Brennecke	500	cellcharter	alignment_eval	Ratio	1.1851009718		-1.1851009718		1	500	500	67.0283147609
DLPFC	Brennecke	500	cellcharter	clustering_eval	CHAOS	0.059372767		-0.059372767		1	500	500	67.5460986914
DLPFC	Brennecke	500	cellcharter	clustering_eval	PAS	0.0783333333		-0.0783333333		1	500	500	67.5460986914
DLPFC	Brennecke	500	cellcharter	clustering_eval	ari	0.1711099463		0.1711099463		1	500	500	67.5460986914
DLPFC	Brennecke	500	cellcharter	clustering_eval	nmi	0.3126711071		0.3126711071		1	500	500	67.5460986914
DLPFC	Brennecke	500	cellcharter	clustering_eval	silhouette	0.0771581754		0.0771581754		1	500	500	67.5460986914
DLPFC	Brennecke	500	cellcharter	integration_eval	GC	0.9724702683		0.9724702683		1	500	500	70.2506503304
DLPFC	Brennecke	500	cellcharter	integration_eval	ILL	0.5234440197		0.5234440197		1	500	500	70.2506503304
DLPFC	Brennecke	500	cellcharter	integration_eval	bASW	0.9842494756		0.9842494756		1	500	500	70.2506503304
DLPFC	Brennecke	500	cellcharter	integration_eval	dASW	0.5048108101		0.5048108101		1	500	500	70.2506503304
DLPFC	Brennecke	500	cellcharter	integration_eval	dLISI	0.8731789819		0.8731789819		1	500	500	70.2506503304
DLPFC	Brennecke	500	cellcharter	integration_eval	iLISI	0.2496796057		0.2496796057		1	500	500	70.2506503304
DLPFC	Brennecke	500	scvi	alignment_eval	Accuracy	0.4569		0.4569		1	500	500	36.9479702674
DLPFC	Brennecke	500	scvi	alignment_eval	Ratio	0.8150960135		-0.8150960135		1	500	500	36.9479702674
DLPFC	Brennecke	500	scvi	clustering_eval	CHAOS	0.0748585873		-0.0748585873		1	500	500	37.8708031168
DLPFC	Brennecke	500	scvi	clustering_eval	PAS	0.4495		-0.4495		1	500	500	37.8708031168
DLPFC	Brennecke	500	scvi	clustering_eval	ari	0.144278251		0.144278251		1	500	500	37.8708031168
DLPFC	Brennecke	500	scvi	clustering_eval	nmi	0.2185538401		0.2185538401		1	500	500	37.8708031168
DLPFC	Brennecke	500	scvi	clustering_eval	silhouette	0.1443490833		0.1443490833		1	500	500	37.8708031168
DLPFC	Brennecke	500	scvi	integration_eval	GC	0.8357933316		0.8357933316		1	500	500	39.6946299337
DLPFC	Brennecke	500	scvi	integration_eval	ILL	0.3533140519		0.3533140519		1	500	500	39.6946299337
DLPFC	Brennecke	500	scvi	integration_eval	bASW	0.9818628001		0.9818628001		1	500	500	39.6946299337
DLPFC	Brennecke	500	scvi	integration_eval	dASW	0.496176918		0.496176918		1	500	500	39.6946299337
DLPFC	Brennecke	500	scvi	integration_eval	dLISI	0.7616738813		0.7616738813		1	500	500	39.6946299337
DLPFC	Brennecke	500	scvi	integration_eval	iLISI	0.6665097141		0.6665097141		1	500	500	39.6946299337
DLPFC	Brennecke	5000	cellcharter	alignment_eval	Accuracy	0.6923		0.6923		1	5000	5000	110.2867348902
DLPFC	Brennecke	5000	cellcharter	alignment_eval	Ratio	1.3409235605		-1.3409235605		1	5000	5000	110.2867348902
DLPFC	Brennecke	5000	cellcharter	clustering_eval	CHAOS	0.0584036186		-0.0584036186		1	5000	5000	110.6253713677
DLPFC	Brennecke	5000	cellcharter	clustering_eval	PAS	0.0308333333		-0.0308333333		1	5000	5000	110.6253713677
DLPFC	Brennecke	5000	cellcharter	clustering_eval	ari	0.2206503834		0.2206503834		1	5000	5000	110.6253713677
DLPFC	Brennecke	5000	cellcharter	clustering_eval	nmi	0.3428947315		0.3428947315		1	5000	5000	110.6253713677
DLPFC	Brennecke	5000	cellcharter	clustering_eval	silhouette	0.1679591537		0.1679591537		1	5000	5000	110.6253713677
DLPFC	Brennecke	5000	cellcharter	integration_eval	GC	0.6291852344		0.6291852344		1	5000	5000	112.9960661205
DLPFC	Brennecke	5000	cellcharter	integration_eval	ILL	0.6292286101		0.6292286101		1	5000	5000	112.9960661205
DLPFC	Brennecke	5000	cellcharter	integration_eval	bASW	0.9328742693		0.9328742693		1	5000	5000	112.9960661205
DLPFC	Brennecke	5000	cellcharter	integration_eval	dASW	0.5117931981		0.5117931981		1	5000	5000	112.9960661205
DLPFC	Brennecke	5000	cellcharter	integration_eval	dLISI	0.9214585519		0.9214585519		1	5000	5000	112.9960661205
DLPFC	Brennecke	5000	cellcharter	integration_eval	iLISI	0.150972428		0.150972428		1	5000	5000	112.9960661205
DLPFC	Brennecke	5000	scvi	alignment_eval	Accuracy	0.5047		0.5047		1	5000	5000	87.0165432272
DLPFC	Brennecke	5000	scvi	alignment_eval	Ratio	0.9441082393		-0.9441082393		1	5000	5000	87.0165432272
DLPFC	Brennecke	5000	scvi	clustering_eval	CHAOS	0.0689315212		-0.0689315212		1	5000	5000	87.9092421765
