dataset	fs_method	n_features	MethodGroup	CanonicalConfig
MouseBrainSerialSections	scry	2000	expression_driven	configs/rebuild_v1/non_spatial_downstream/canonical/mouse_brain_serial_sections.yaml
MouseBrainSerialSections	scsegindex	500	control	configs/rebuild_v1/non_spatial_downstream/canonical/mouse_brain_serial_sections.yaml
MouseBrainSerialSections	seurat_disp	2000	expression_driven	configs/rebuild_v1/non_spatial_downstream/canonical/mouse_brain_serial_sections.yaml
MouseBrainSerialSections	seurat_mvp	2000	expression_driven	configs/rebuild_v1/non_spatial_downstream/canonical/mouse_brain_serial_sections.yaml
MouseBrainSerialSections	seurat_sct	2000	expression_driven	configs/rebuild_v1/non_spatial_downstream/canonical/mouse_brain_serial_sections.yaml
MouseBrainSerialSections	seurat_vst	2000	expression_driven	configs/rebuild_v1/non_spatial_downstream/canonical/mouse_brain_serial_sections.yaml
MouseBrainSerialSections	singleCellHaystack	2000	expression_driven	configs/rebuild_v1/non_spatial_downstream/canonical/mouse_brain_serial_sections.yaml
MouseBrainSerialSections	somde	2000	spatially_informed	configs/rebuild_v1/downstream/canonical/mouse_brain_serial_sections.yaml
MouseBrainSerialSections	sparkx	2000	spatially_informed	configs/rebuild_v1/downstream/canonical/mouse_brain_serial_sections.yaml
MouseBrainSerialSections	spatialde	2000	spatially_informed	configs/rebuild_v1/downstream/canonical/mouse_brain_serial_sections.yaml
MouseBrainSerialSections	statistic_mean	2000	expression_driven	configs/rebuild_v1/non_spatial_downstream/canonical/mouse_brain_serial_sections.yaml
MouseBrainSerialSections	statistic_variance	2000	expression_driven	configs/rebuild_v1/non_spatial_downstream/canonical/mouse_brain_serial_sections.yaml
MouseBrainSerialSections	triku	2000	expression_driven	configs/rebuild_v1/non_spatial_downstream/canonical/mouse_brain_serial_sections.yaml
MouseBrainSerialSections	wilcoxon	2000	label_informed	configs/rebuild_v1/non_spatial_downstream/canonical/mouse_brain_serial_sections.yaml
STOmics0212	Brennecke	2000	expression_driven	configs/rebuild_v1/non_spatial_downstream/canonical/stomics_0212.yaml
STOmics0212	TFs	2000	control	configs/rebuild_v1/non_spatial_downstream/canonical/stomics_0212.yaml
STOmics0212	all_features	all	control	configs/rebuild_v1/non_spatial_downstream/canonical/stomics_0212.yaml
STOmics0212	anticor	2000	expression_driven	configs/rebuild_v1/non_spatial_downstream/canonical/stomics_0212.yaml
STOmics0212	dubstepr	2000	expression_driven	configs/rebuild_v1/non_spatial_downstream/canonical/stomics_0212.yaml
STOmics0212	hotspot	2000	expression_driven	configs/rebuild_v1/non_spatial_downstream/canonical/stomics_0212.yaml
STOmics0212	morans_i	2000	spatially_informed	configs/rebuild_v1/downstream/canonical/stomics_0212.yaml
STOmics0212	nbumi	2000	expression_driven	configs/rebuild_v1/non_spatial_downstream/canonical/stomics_0212.yaml
STOmics0212	nnsvg	2000	spatially_informed	configs/rebuild_v1/downstream/canonical/stomics_0212.yaml
STOmics0212	osca	2000	expression_driven	configs/rebuild_v1/non_spatial_downstream/canonical/stomics_0212.yaml
STOmics0212	random	500	control	configs/rebuild_v1/non_spatial_downstream/canonical/stomics_0212.yaml
STOmics0212	scPNMF	2000	expression_driven	configs/rebuild_v1/non_spatial_downstream/canonical/stomics_0212.yaml
STOmics0212	scanpy_cell_ranger	2000	expression_driven	configs/rebuild_v1/non_spatial_downstream/canonical/stomics_0212.yaml
STOmics0212	scanpy_cell_ranger_batch	2000	expression_driven	configs/rebuild_v1/non_spatial_downstream/canonical/stomics_0212.yaml
STOmics0212	scanpy_pearson	2000	expression_driven	configs/rebuild_v1/non_spatial_downstream/canonical/stomics_0212.yaml
STOmics0212	scanpy_pearson_batch	2000	expression_driven	configs/rebuild_v1/non_spatial_downstream/canonical/stomics_0212.yaml
STOmics0212	scanpy_seurat	2000	expression_driven	configs/rebuild_v1/non_spatial_downstream/canonical/stomics_0212.yaml
STOmics0212	scanpy_seurat_batch	2000	expression_driven	configs/rebuild_v1/non_spatial_downstream/canonical/stomics_0212.yaml
STOmics0212	scanpy_seurat_v3	2000	expression_driven	configs/rebuild_v1/non_spatial_downstream/canonical/stomics_0212.yaml
STOmics0212	scanpy_seurat_v3_batch	2000	expression_driven	configs/rebuild_v1/non_spatial_downstream/canonical/stomics_0212.yaml
STOmics0212	scry	2000	expression_driven	configs/rebuild_v1/non_spatial_downstream/canonical/stomics_0212.yaml
STOmics0212	scsegindex	500	control	configs/rebuild_v1/non_spatial_downstream/canonical/stomics_0212.yaml
STOmics0212	seurat_disp	2000	expression_driven	configs/rebuild_v1/non_spatial_downstream/canonical/stomics_0212.yaml
STOmics0212	seurat_mvp	2000	expression_driven	configs/rebuild_v1/non_spatial_downstream/canonical/stomics_0212.yaml
STOmics0212	seurat_sct	2000	expression_driven	configs/rebuild_v1/non_spatial_downstream/canonical/stomics_0212.yaml
STOmics0212	seurat_vst	2000	expression_driven	configs/rebuild_v1/non_spatial_downstream/canonical/stomics_0212.yaml
STOmics0212	singleCellHaystack	2000	expression_driven	configs/rebuild_v1/non_spatial_downstream/canonical/stomics_0212.yaml
STOmics0212	somde	2000	spatially_informed	configs/rebuild_v1/downstream/canonical/stomics_0212.yaml
STOmics0212	sparkx	2000	spatially_informed	configs/rebuild_v1/downstream/canonical/stomics_0212.yaml
STOmics0212	spatialde	2000	spatially_informed	configs/rebuild_v1/downstream/canonical/stomics_0212.yaml
STOmics0212	statistic_mean	2000	expression_driven	configs/rebuild_v1/non_spatial_downstream/canonical/stomics_0212.yaml
STOmics0212	statistic_variance	2000	expression_driven	configs/rebuild_v1/non_spatial_downstream/canonical/stomics_0212.yaml
STOmics0212	triku	2000	expression_driven	configs/rebuild_v1/non_spatial_downstream/canonical/stomics_0212.yaml
STOmics0212	wilcoxon	2000	label_informed	configs/rebuild_v1/non_spatial_downstream/canonical/stomics_0212.yaml
STOmics0218	Brennecke	2000	expression_driven	configs/rebuild_v1/non_spatial_downstream/canonical/stomics_0218.yaml
STOmics0218	TFs	2000	control	configs/rebuild_v1/non_spatial_downstream/canonical/stomics_0218.yaml
STOmics0218	all_features	all	control	configs/rebuild_v1/non_spatial_downstream/canonical/stomics_0218.yaml
STOmics0218	anticor	2000	expression_driven	configs/rebuild_v1/non_spatial_downstream/canonical/stomics_0218.yaml
STOmics0218	dubstepr	2000	expression_driven	configs/rebuild_v1/non_spatial_downstream/canonical/stomics_0218.yaml
STOmics0218	hotspot	2000	expression_driven	configs/rebuild_v1/non_spatial_downstream/canonical/stomics_0218.yaml
STOmics0218	morans_i	2000	spatially_informed	configs/rebuild_v1/downstream/canonical/stomics_0218.yaml
STOmics0218	nbumi	2000	expression_driven	configs/rebuild_v1/non_spatial_downstream/canonical/stomics_0218.yaml
STOmics0218	nnsvg	2000	spatially_informed	configs/rebuild_v1/downstream/canonical/stomics_0218.yaml
STOmics0218	osca	2000	expression_driven	configs/rebuild_v1/non_spatial_downstream/canonical/stomics_0218.yaml
STOmics0218	random	500	control	configs/rebuild_v1/non_spatial_downstream/canonical/stomics_0218.yaml
STOmics0218	scPNMF	2000	expression_driven	configs/rebuild_v1/non_spatial_downstream/canonical/stomics_0218.yaml
STOmics0218	scanpy_cell_ranger	2000	expression_driven	configs/rebuild_v1/non_spatial_downstream/canonical/stomics_0218.yaml
STOmics0218	scanpy_cell_ranger_batch	2000	expression_driven	configs/rebuild_v1/non_spatial_downstream/canonical/stomics_0218.yaml
STOmics0218	scanpy_pearson	2000	expression_driven	configs/rebuild_v1/non_spatial_downstream/canonical/stomics_0218.yaml
STOmics0218	scanpy_pearson_batch	2000	expression_driven	configs/rebuild_v1/non_spatial_downstream/canonical/stomics_0218.yaml
STOmics0218	scanpy_seurat	2000	expression_driven	configs/rebuild_v1/non_spatial_downstream/canonical/stomics_0218.yaml
STOmics0218	scanpy_seurat_batch	2000	expression_driven	configs/rebuild_v1/non_spatial_downstream/canonical/stomics_0218.yaml
STOmics0218	scanpy_seurat_v3	2000	expression_driven	configs/rebuild_v1/non_spatial_downstream/canonical/stomics_0218.yaml
STOmics0218	scanpy_seurat_v3_batch	2000	expression_driven	configs/rebuild_v1/non_spatial_downstream/canonical/stomics_0218.yaml
STOmics0218	scry	2000	expression_driven	configs/rebuild_v1/non_spatial_downstream/canonical/stomics_0218.yaml
STOmics0218	scsegindex	500	control	configs/rebuild_v1/non_spatial_downstream/canonical/stomics_0218.yaml
STOmics0218	seurat_disp	2000	expression_driven	configs/rebuild_v1/non_spatial_downstream/canonical/stomics_0218.yaml
STOmics0218	seurat_mvp	2000	expression_driven	configs/rebuild_v1/non_spatial_downstream/canonical/stomics_0218.yaml
STOmics0218	seurat_sct	2000	expression_driven	configs/rebuild_v1/non_spatial_downstream/canonical/stomics_0218.yaml
STOmics0218	seurat_vst	2000	expression_driven	configs/rebuild_v1/non_spatial_downstream/canonical/stomics_0218.yaml
STOmics0218	singleCellHaystack	2000	expression_driven	configs/rebuild_v1/non_spatial_downstream/canonical/stomics_0218.yaml
STOmics0218	somde	2000	spatially_informed	configs/rebuild_v1/downstream/canonical/stomics_0218.yaml
STOmics0218	sparkx	2000	spatially_informed	configs/rebuild_v1/downstream/canonical/stomics_0218.yaml
STOmics0218	spatialde	2000	spatially_informed	configs/rebuild_v1/downstream/canonical/stomics_0218.yaml
STOmics0218	statistic_mean	2000	expression_driven	configs/rebuild_v1/non_spatial_downstream/canonical/stomics_0218.yaml
STOmics0218	statistic_variance	2000	expression_driven	configs/rebuild_v1/non_spatial_downstream/canonical/stomics_0218.yaml
STOmics0218	triku	2000	expression_driven	configs/rebuild_v1/non_spatial_downstream/canonical/stomics_0218.yaml
STOmics0218	wilcoxon	2000	label_informed	configs/rebuild_v1/non_spatial_downstream/canonical/stomics_0218.yaml
STOmics0224	Brennecke	2000	expression_driven	configs/rebuild_v1/non_spatial_downstream/canonical/stomics_0224.yaml
STOmics0224	TFs	2000	control	configs/rebuild_v1/non_spatial_downstream/canonical/stomics_0224.yaml
STOmics0224	all_features	all	control	configs/rebuild_v1/non_spatial_downstream/canonical/stomics_0224.yaml
STOmics0224	anticor	2000	expression_driven	configs/rebuild_v1/non_spatial_downstream/canonical/stomics_0224.yaml
STOmics0224	dubstepr	2000	expression_driven	configs/rebuild_v1/non_spatial_downstream/canonical/stomics_0224.yaml
STOmics0224	hotspot	2000	expression_driven	configs/rebuild_v1/non_spatial_downstream/canonical/stomics_0224.yaml
STOmics0224	morans_i	2000	spatially_informed	configs/rebuild_v1/downstream/canonical/stomics_0224.yaml
STOmics0224	nbumi	2000	expression_driven	configs/rebuild_v1/non_spatial_downstream/canonical/stomics_0224.yaml
STOmics0224	nnsvg	2000	spatially_informed	configs/rebuild_v1/downstream/canonical/stomics_0224.yaml
STOmics0224	osca	2000	expression_driven	configs/rebuild_v1/non_spatial_downstream/canonical/stomics_0224.yaml
STOmics0224	random	500	control	configs/rebuild_v1/non_spatial_downstream/canonical/stomics_0224.yaml
STOmics0224	scPNMF	2000	expression_driven	configs/rebuild_v1/non_spatial_downstream/canonical/stomics_0224.yaml
STOmics0224	scanpy_cell_ranger	2000	expression_driven	configs/rebuild_v1/non_spatial_downstream/canonical/stomics_0224.yaml
STOmics0224	scanpy_cell_ranger_batch	2000	expression_driven	configs/rebuild_v1/non_spatial_downstream/canonical/stomics_0224.yaml
STOmics0224	scanpy_pearson	2000	expression_driven	configs/rebuild_v1/non_spatial_downstream/canonical/stomics_0224.yaml
STOmics0224	scanpy_pearson_batch	2000	expression_driven	configs/rebuild_v1/non_spatial_downstream/canonical/stomics_0224.yaml
STOmics0224	scanpy_seurat	2000	expression_driven	configs/rebuild_v1/non_spatial_downstream/canonical/stomics_0224.yaml
STOmics0224	scanpy_seurat_batch	2000	expression_driven	configs/rebuild_v1/non_spatial_downstream/canonical/stomics_0224.yaml
STOmics0224	scanpy_seurat_v3	2000	expression_driven	configs/rebuild_v1/non_spatial_downstream/canonical/stomics_0224.yaml
STOmics0224	scanpy_seurat_v3_batch	2000	expression_driven	configs/rebuild_v1/non_spatial_downstream/canonical/stomics_0224.yaml
STOmics0224	scry	2000	expression_driven	configs/rebuild_v1/non_spatial_downstream/canonical/stomics_0224.yaml
STOmics0224	scsegindex	500	control	configs/rebuild_v1/non_spatial_downstream/canonical/stomics_0224.yaml
STOmics0224	seurat_disp	2000	expression_driven	configs/rebuild_v1/non_spatial_downstream/canonical/stomics_0224.yaml
STOmics0224	seurat_mvp	2000	expression_driven	configs/rebuild_v1/non_spatial_downstream/canonical/stomics_0224.yaml
STOmics0224	seurat_sct	2000	expression_driven	configs/rebuild_v1/non_spatial_downstream/canonical/stomics_0224.yaml
STOmics0224	seurat_vst	2000	expression_driven	configs/rebuild_v1/non_spatial_downstream/canonical/stomics_0224.yaml
