Dataset	Platform	NSlices	Method	MethodBase	SelFeatures	Integration	IntegrationLabel	Task	TaskLabel	Type	Metric	MetricName	Value	ValueRaw	HigherBetter	Seed	Runtime	EffectiveFeatures	Notes
DLPFC	Visium	4	Brennecke-N5000	Brennecke	5000	cellcharter	CellCharter	clustering_eval	Clustering	Clustering	ari	ARI	0.2822362856	0.2822362856	True	0	590.489850685	5000	cache_signature=0a0bc6954fdfb868a04629d40965c00f
DLPFC	Visium	4	Brennecke-N5000	Brennecke	5000	cellcharter	CellCharter	clustering_eval	Clustering	Clustering	nmi	NMI	0.4252787086	0.4252787086	True	0	590.489850685	5000	cache_signature=0a0bc6954fdfb868a04629d40965c00f
DLPFC	Visium	4	Brennecke-N5000	Brennecke	5000	cellcharter	CellCharter	clustering_eval	Clustering	Clustering	CHAOS	CHAOS	-0.0581446838	0.0581446838	False	0	590.489850685	5000	cache_signature=0a0bc6954fdfb868a04629d40965c00f
DLPFC	Visium	4	Brennecke-N5000	Brennecke	5000	cellcharter	CellCharter	clustering_eval	Clustering	Clustering	PAS	PAS	-0.0447842363	0.0447842363	False	0	590.489850685	5000	cache_signature=0a0bc6954fdfb868a04629d40965c00f
DLPFC	Visium	4	Brennecke-N5000	Brennecke	5000	cellcharter	CellCharter	integration_eval	Integration	Integration	bASW	bASW	0.9700063122	0.9700063122	True	0	596.3974844627	5000	cache_signature=67e0affb34f0d45fb334bcefb67ff483
DLPFC	Visium	4	Brennecke-N5000	Brennecke	5000	cellcharter	CellCharter	integration_eval	Integration	Integration	iLISI	iLISI	0.2148840884	0.2148840884	True	0	596.3974844627	5000	cache_signature=67e0affb34f0d45fb334bcefb67ff483
DLPFC	Visium	4	Brennecke-N5000	Brennecke	5000	cellcharter	CellCharter	integration_eval	Integration	Integration	dASW	dASW	0.5173140746	0.5173140746	True	0	596.3974844627	5000	cache_signature=67e0affb34f0d45fb334bcefb67ff483
DLPFC	Visium	4	Brennecke-N5000	Brennecke	5000	cellcharter	CellCharter	integration_eval	Integration	Integration	dLISI	dLISI	0.9253852976	0.9253852976	True	0	596.3974844627	5000	cache_signature=67e0affb34f0d45fb334bcefb67ff483
DLPFC	Visium	4	Brennecke-N5000	Brennecke	5000	cellcharter	CellCharter	integration_eval	Integration	Integration	ILL	ILL	0.6321909412	0.6321909412	True	0	596.3974844627	5000	cache_signature=67e0affb34f0d45fb334bcefb67ff483
DLPFC	Visium	4	Brennecke-N5000	Brennecke	5000	cellcharter	CellCharter	integration_eval	Integration	Integration	GC	GC	0.9777747212	0.9777747212	True	0	596.3974844627	5000	cache_signature=67e0affb34f0d45fb334bcefb67ff483
DLPFC	Visium	4	TFs-N100	TFs	100	cellcharter	CellCharter	alignment_eval	Alignment	Alignment	Accuracy	Accuracy	0.2922263401	0.2922263401	True	0	186.0527927261	100	cache_signature=352a173de9a77df072654e8194218850
DLPFC	Visium	4	TFs-N100	TFs	100	cellcharter	CellCharter	alignment_eval	Alignment	Alignment	Ratio	Ratio	-1.5576738952	1.5576738952	False	0	186.0527927261	100	cache_signature=352a173de9a77df072654e8194218850
DLPFC	Visium	4	TFs-N100	TFs	100	cellcharter	CellCharter	clustering_eval	Clustering	Clustering	silhouette	Silhouette	-0.0083979275	-0.0083979275	True	0	184.8999163192	100	cache_signature=c938a1e6d6db8eced51566cd9b88ecfb
DLPFC	Visium	4	TFs-N100	TFs	100	cellcharter	CellCharter	clustering_eval	Clustering	Clustering	ari	ARI	0.0838434792	0.0838434792	True	0	184.8999163192	100	cache_signature=c938a1e6d6db8eced51566cd9b88ecfb
DLPFC	Visium	4	TFs-N100	TFs	100	cellcharter	CellCharter	clustering_eval	Clustering	Clustering	nmi	NMI	0.1383849036	0.1383849036	True	0	184.8999163192	100	cache_signature=c938a1e6d6db8eced51566cd9b88ecfb
DLPFC	Visium	4	TFs-N100	TFs	100	cellcharter	CellCharter	clustering_eval	Clustering	Clustering	CHAOS	CHAOS	-0.0757119773	0.0757119773	False	0	184.8999163192	100	cache_signature=c938a1e6d6db8eced51566cd9b88ecfb
