dataset	fs_method	n_features	integration_method	BatchMixingMean	BatchMixingSD	BatchMixingNSeeds	BiologicalConservationMean	BiologicalConservationSD	BiologicalConservationNSeeds	IntegrationMean	IntegrationSD	IntegrationNSeeds	LabelIndependentClusteringMean	LabelIndependentClusteringSD	LabelIndependentClusteringNSeeds	LabelAgreementMean	LabelAgreementSD	LabelAgreementNSeeds	ClusteringMean	ClusteringSD	ClusteringNSeeds	AlignmentMean	AlignmentSD	AlignmentNSeeds	CoreOverallMean	CoreOverallSD	CoreOverallNSeeds	AlignmentEligibleOverallMean	AlignmentEligibleOverallSD	AlignmentEligibleOverallNSeeds	MethodGroup
DLPFC	scanpy_cell_ranger_batch	2000	graphst	0.6228175110457299	0.0011975090718506767	3	0.8516648282565856	0.0027537874225037565	3	0.7372411696511577	0.0011169513035885308	3	0.6475006069401092	0.005473197578853107	3	0.6050066666597159	0.04785427681490198	3	0.6262536367999126	0.025254236929610537	3	0.7883074992774383	0.010358130038325393	3	0.6817474032255352	0.01212432932381035	3	0.7172674352428361	0.0069144279071839156	3	expression_driven
DLPFC	scanpy_pearson	2000	graphst	0.5374382027920616	0.0037614338070645504	3	0.8497755183980796	0.004380210776914842	3	0.6936068605950706	0.0017288688849145433	3	0.7110228419729561	0.007214291936654253	3	0.551082828621973	0.015554257081890044	3	0.6310528352974645	0.0077885316741448775	3	0.7377462991249922	0.014410086208156574	3	0.6623298479462676	0.0031768079410236143	3	0.6874686650058424	0.004398748014385647	3	expression_driven
DLPFC	scanpy_pearson_batch	2000	graphst	0.5827216074539422	0.0007873015037115049	3	0.8261604250657846	0.0025841544591473464	3	0.7044410162598634	0.001076581404554256	3	0.6910274474704264	0.00882875965833079	3	0.5103926616872201	0.02770812173137534	3	0.6007100545788233	0.009440122180023495	3	0.740022916769356	0.003004752036208381	3	0.6525755354193433	0.004360432804614989	3	0.6817246625360142	0.0035745906714233504	3	expression_driven
DLPFC	scanpy_seurat	2000	graphst	0.5634208396699524	0.0013901934608141122	3	0.8405794559878995	0.010923440337689445	3	0.702000147828926	0.005006674584362116	3	0.678494657937495	0.011225512123455133	3	0.5242022066620824	0.02877083385157828	3	0.6013484322997886	0.012611493776734374	3	0.7475853620456036	0.0057087672236076316	3	0.6516742900643573	0.008657253126148585	3	0.6836446473914393	0.006457058127783146	3	expression_driven
DLPFC	scanpy_seurat_batch	2000	graphst	0.5627600075075749	0.001243624545015537	3	0.8483231394484828	0.0029192723210039163	3	0.7055415734780289	0.001317182230122888	3	0.6898819183308739	0.0038967013380598247	3	0.5182983206525723	0.028423726157530915	3	0.6040901194917231	0.015118330003453905	3	0.7456100780449649	0.013976154939460578	3	0.654815846484876	0.0077203688580773705	3	0.685080590338239	0.0071729824411639635	3	expression_driven
DLPFC	scanpy_seurat_v3	2000	graphst	0.5632510940459665	0.002161468703786067	3	0.9701292020474703	0.006237382081025171	3	0.7666901480467185	0.0024754910853606407	3	0.7120081316398114	0.007623758372603927	3	0.6359143110307953	0.0461791792703103	3	0.6739612213353032	0.02264698548835845	3	0.8832959718099008	0.001225816574582442	3	0.7203256846910109	0.010114544880318183	3	0.7746491137306407	0.006481821027457181	3	expression_driven
DLPFC	scanpy_seurat_v3_batch	2000	graphst	0.6061357492284376	0.001753874160827302	3	0.9087036268577098	0.010312567044135195	3	0.7574196880430737	0.00430255644880557	3	0.6761827752164867	0.0075796062020068505	3	0.6007340595155631	0.07095688690298775	3	0.6384584173660248	0.0385001612100177	3	0.8163779004832801	0.0033316102872634036	3	0.6979390527045494	0.020867886736247142	3	0.7374186686307929	0.014876068028260823	3	expression_driven
DLPFC	scry	2000	graphst	0.5350040954224754	0.00849752725315033	3	0.8762574401548378	0.014209630036576373	3	0.7056307677886565	0.0036920142406155873	3	0.7037905922807873	0.023603127949725067	3	0.5175182970797955	0.04581013205390621	3	0.6106544446802914	0.034385208567131835	3	0.7911274309955726	0.01158940885749779	3	0.658142606234474	0.018233287199095845	3	0.7024708811548402	0.01563291848626565	3	expression_driven
DLPFC	seurat_disp	2000	graphst	0.5508340281146761	0.006420999750929151	3	0.819558306126915	0.0009984125103192187	3	0.6851961671207957	0.0030181502562557022	3	0.6943804702019554	0.002367724872589873	3	0.4919007569775549	0.015273331285771656	3	0.5931406135897551	0.008703036543704225	3	0.7165418815653471	0.004099394334410819	3	0.6391683903552754	0.005781215060420027	3	0.6649595540919659	0.00317354438492696	3	expression_driven
DLPFC	seurat_mvp	2000	graphst	0.5468735330494073	0.001640999135414226	3	0.8467923472920255	0.006975099348892721	3	0.6968329401707164	0.004011785605936042	3	0.6896873119450584	0.003930452116175358	3	0.4984645621689799	0.05132421868437805	3	0.5940759370570191	0.02761324395256046	3	0.7433546470609903	0.0015444510636063986	3	0.6454544386138678	0.01248125003478752	3	0.6780878414295753	0.008312710364200948	3	expression_driven
