dataset	platform	n_slices	fs_method	n_features	integration_method	task	metric_name	metric_value	random_seed	runtime	memory_usage	effective_n_features	notes	DirectionMultiplier	OrientedValue
DLPFC	Visium	4	scanpy_pearson_batch	2000	graphst	integration_eval	iLISI	0.1958567565	1	25.6292901235	14728.7578125	2000	cache_signature=0ad45626144467f25cfb13424771146c	1	0.1958567565
DLPFC	Visium	4	scanpy_pearson_batch	2000	graphst	integration_eval	dASW	0.5102995494	1	25.6292901235	14728.7578125	2000	cache_signature=0ad45626144467f25cfb13424771146c	1	0.5102995494
DLPFC	Visium	4	scanpy_pearson_batch	2000	graphst	integration_eval	dLISI	0.8901967602	1	25.6292901235	14728.7578125	2000	cache_signature=0ad45626144467f25cfb13424771146c	1	0.8901967602
DLPFC	Visium	4	scanpy_pearson_batch	2000	graphst	integration_eval	ILL	0.5634220429	1	25.6292901235	14728.7578125	2000	cache_signature=0ad45626144467f25cfb13424771146c	1	0.5634220429
DLPFC	Visium	4	scanpy_pearson_batch	2000	graphst	integration_eval	GC	0.9266654947	1	25.6292901235	14728.7578125	2000	cache_signature=0ad45626144467f25cfb13424771146c	1	0.9266654947
DLPFC	Visium	4	scanpy_pearson_batch	2000	graphst	clustering_eval	silhouette	0.2029820085	1	22.9983396828	14728.93359375	2000	cache_signature=6d3b05a491d93cb6371328445011f240	1	0.2029820085
DLPFC	Visium	4	scanpy_pearson_batch	2000	graphst	clustering_eval	ari	0.1893589196	1	22.9983396828	14728.93359375	2000	cache_signature=6d3b05a491d93cb6371328445011f240	1	0.1893589196
DLPFC	Visium	4	scanpy_pearson_batch	2000	graphst	clustering_eval	nmi	0.2894243318	1	22.9983396828	14728.93359375	2000	cache_signature=6d3b05a491d93cb6371328445011f240	1	0.2894243318
DLPFC	Visium	4	scanpy_pearson_batch	2000	graphst	clustering_eval	CHAOS	0.0593322135	1	22.9983396828	14728.93359375	2000	cache_signature=6d3b05a491d93cb6371328445011f240	-1	-0.0593322135
DLPFC	Visium	4	scanpy_pearson_batch	2000	graphst	clustering_eval	PAS	0.09625	1	22.9983396828	14728.93359375	2000	cache_signature=6d3b05a491d93cb6371328445011f240	-1	-0.09625
DLPFC	Visium	4	scanpy_pearson_batch	2000	graphst	alignment_eval	Accuracy	0.5787	1	21.8376276307	14728.93359375	2000	cache_signature=b1859a64f5cd64e525dafe86e86d29cc	1	0.5787
DLPFC	Visium	4	scanpy_pearson_batch	2000	graphst	alignment_eval	Ratio	1.7620853818	1	21.8376276307	14728.93359375	2000	cache_signature=b1859a64f5cd64e525dafe86e86d29cc	-1	-1.7620853818
DLPFC	Visium	4	singleCellHaystack	2000	graphst	integration_eval	bASW	0.9133193479	0	26.6124259308	13339.8515625	2000	cache_signature=a2f2923216e909b9cfc86f33ecb1939b	1	0.9133193479
DLPFC	Visium	4	singleCellHaystack	2000	graphst	integration_eval	iLISI	0.1678254396	0	26.6124259308	13339.8515625	2000	cache_signature=a2f2923216e909b9cfc86f33ecb1939b	1	0.1678254396
DLPFC	Visium	4	singleCellHaystack	2000	graphst	integration_eval	dASW	0.5208318979	0	26.6124259308	13339.8515625	2000	cache_signature=a2f2923216e909b9cfc86f33ecb1939b	1	0.5208318979
DLPFC	Visium	4	singleCellHaystack	2000	graphst	integration_eval	dLISI	0.930500613	0	26.6124259308	13339.8515625	2000	cache_signature=a2f2923216e909b9cfc86f33ecb1939b	1	0.930500613
DLPFC	Visium	4	singleCellHaystack	2000	graphst	integration_eval	ILL	0.6466794238	0	26.6124259308	13339.8515625	2000	cache_signature=a2f2923216e909b9cfc86f33ecb1939b	1	0.6466794238
DLPFC	Visium	4	singleCellHaystack	2000	graphst	integration_eval	GC	0.9202923279	0	26.6124259308	13339.8515625	2000	cache_signature=a2f2923216e909b9cfc86f33ecb1939b	1	0.9202923279
DLPFC	Visium	4	singleCellHaystack	2000	graphst	clustering_eval	silhouette	0.2799018621	0	24.426540141	13339.8515625	2000	cache_signature=f2c2dafd356d20ad9332f6ed0dda3e48	1	0.2799018621
DLPFC	Visium	4	singleCellHaystack	2000	graphst	clustering_eval	ari	0.2241038214	0	24.426540141	13339.8515625	2000	cache_signature=f2c2dafd356d20ad9332f6ed0dda3e48	1	0.2241038214
DLPFC	Visium	4	singleCellHaystack	2000	graphst	clustering_eval	nmi	0.3522720217	0	24.426540141	13339.8515625	2000	cache_signature=f2c2dafd356d20ad9332f6ed0dda3e48	1	0.3522720217
DLPFC	Visium	4	singleCellHaystack	2000	graphst	clustering_eval	CHAOS	0.0599957502	0	24.426540141	13339.8515625	2000	cache_signature=f2c2dafd356d20ad9332f6ed0dda3e48	-1	-0.0599957502
DLPFC	Visium	4	singleCellHaystack	2000	graphst	clustering_eval	PAS	0.0895	0	24.426540141	13339.8515625	2000	cache_signature=f2c2dafd356d20ad9332f6ed0dda3e48	-1	-0.0895
DLPFC	Visium	4	singleCellHaystack	2000	graphst	alignment_eval	Accuracy	0.7102	0	23.3822039301	13339.8515625	2000	cache_signature=8df903974faebf4511743807cbe255fd	1	0.7102
DLPFC	Visium	4	singleCellHaystack	2000	graphst	alignment_eval	Ratio	1.710989918	0	23.3822039301	13339.8515625	2000	cache_signature=8df903974faebf4511743807cbe255fd	-1	-1.710989918
DLPFC	Visium	4	singleCellHaystack	2000	graphst	integration_eval	bASW	0.9012197391	2	27.4217698053	20530.10546875	2000	cache_signature=cce2a24865e7cb722949e26a62e77184	1	0.9012197391
DLPFC	Visium	4	singleCellHaystack	2000	graphst	integration_eval	iLISI	0.165448926	2	27.4217698053	20530.10546875	2000	cache_signature=cce2a24865e7cb722949e26a62e77184	1	0.165448926
DLPFC	Visium	4	singleCellHaystack	2000	graphst	integration_eval	dASW	0.5221044589	2	27.4217698053	20530.10546875	2000	cache_signature=cce2a24865e7cb722949e26a62e77184	1	0.5221044589
DLPFC	Visium	4	singleCellHaystack	2000	graphst	integration_eval	dLISI	0.9280925824	2	27.4217698053	20530.10546875	2000	cache_signature=cce2a24865e7cb722949e26a62e77184	1	0.9280925824
DLPFC	Visium	4	singleCellHaystack	2000	graphst	integration_eval	ILL	0.6571135931	2	27.4217698053	20530.10546875	2000	cache_signature=cce2a24865e7cb722949e26a62e77184	1	0.6571135931
DLPFC	Visium	4	singleCellHaystack	2000	graphst	integration_eval	GC	0.9239911414	2	27.4217698053	20530.10546875	2000	cache_signature=cce2a24865e7cb722949e26a62e77184	1	0.9239911414
DLPFC	Visium	4	singleCellHaystack	2000	graphst	clustering_eval	silhouette	0.2993315458	2	24.7531570252	20530.10546875	2000	cache_signature=a69837a0789dc1371b5d73e49c604319	1	0.2993315458
DLPFC	Visium	4	singleCellHaystack	2000	graphst	clustering_eval	ari	0.2294323851	2	24.7531570252	20530.10546875	2000	cache_signature=a69837a0789dc1371b5d73e49c604319	1	0.2294323851
DLPFC	Visium	4	singleCellHaystack	2000	graphst	clustering_eval	nmi	0.4123088394	2	24.7531570252	20530.10546875	2000	cache_signature=a69837a0789dc1371b5d73e49c604319	1	0.4123088394
DLPFC	Visium	4	singleCellHaystack	2000	graphst	clustering_eval	CHAOS	0.0593594709	2	24.7531570252	20530.10546875	2000	cache_signature=a69837a0789dc1371b5d73e49c604319	-1	-0.0593594709
DLPFC	Visium	4	singleCellHaystack	2000	graphst	clustering_eval	PAS	0.05875	2	24.7531570252	20530.10546875	2000	cache_signature=a69837a0789dc1371b5d73e49c604319	-1	-0.05875
DLPFC	Visium	4	singleCellHaystack	2000	graphst	alignment_eval	Accuracy	0.6894	2	23.7693535015	20530.10546875	2000	cache_signature=367d340de8c715d6a8f0a8abcdd3b012	1	0.6894
DLPFC	Visium	4	singleCellHaystack	2000	graphst	alignment_eval	Ratio	1.7167089937	2	23.7693535015	20530.10546875	2000	cache_signature=367d340de8c715d6a8f0a8abcdd3b012	-1	-1.7167089937
DLPFC	Visium	4	singleCellHaystack	2000	graphst	integration_eval	bASW	0.9003932201	1	27.1472059228	19250.79296875	2000	cache_signature=398afce2bbdb10aa93daadc2349aa8a7	1	0.9003932201
DLPFC	Visium	4	singleCellHaystack	2000	graphst	integration_eval	iLISI	0.1512596895	1	27.1472059228	19250.79296875	2000	cache_signature=398afce2bbdb10aa93daadc2349aa8a7	1	0.1512596895
DLPFC	Visium	4	singleCellHaystack	2000	graphst	integration_eval	dASW	0.5216139276	1	27.1472059228	19250.79296875	2000	cache_signature=398afce2bbdb10aa93daadc2349aa8a7	1	0.5216139276
DLPFC	Visium	4	singleCellHaystack	2000	graphst	integration_eval	dLISI	0.9323921993	1	27.1472059228	19250.79296875	2000	cache_signature=398afce2bbdb10aa93daadc2349aa8a7	1	0.9323921993
DLPFC	Visium	4	singleCellHaystack	2000	graphst	integration_eval	ILL	0.6603865131	1	27.1472059228	19250.79296875	2000	cache_signature=398afce2bbdb10aa93daadc2349aa8a7	1	0.6603865131
DLPFC	Visium	4	singleCellHaystack	2000	graphst	integration_eval	GC	0.9451652157	1	27.1472059228	19250.79296875	2000	cache_signature=398afce2bbdb10aa93daadc2349aa8a7	1	0.9451652157
DLPFC	Visium	4	singleCellHaystack	2000	graphst	clustering_eval	silhouette	0.3053301275	1	25.1146133207	19251.20703125	2000	cache_signature=97c870e0933c9ceca9f692069e022cfd	1	0.3053301275
DLPFC	Visium	4	singleCellHaystack	2000	graphst	clustering_eval	ari	0.1384921475	1	25.1146133207	19251.20703125	2000	cache_signature=97c870e0933c9ceca9f692069e022cfd	1	0.1384921475
DLPFC	Visium	4	singleCellHaystack	2000	graphst	clustering_eval	nmi	0.3190915503	1	25.1146133207	19251.20703125	2000	cache_signature=97c870e0933c9ceca9f692069e022cfd	1	0.3190915503
DLPFC	Visium	4	singleCellHaystack	2000	graphst	clustering_eval	CHAOS	0.0591705334	1	25.1146133207	19251.20703125	2000	cache_signature=97c870e0933c9ceca9f692069e022cfd	-1	-0.0591705334
