dataset	fs_method	n_features	integration_method	Dataset	Integrator	Task	SeedSD	NSeeds
STOmics0218	scry	2000	scvi	STOmics-0218	scVI	Clustering	0.00880014755538719	3
STOmics0218	scry	2000	scvi	STOmics-0218	scVI	Core overall	0.007516408218924778	3
STOmics0218	scry	2000	scvi	STOmics-0218	scVI	Integration	0.0062900000907152274	3
STOmics0218	scsegindex	500	cellcharter	STOmics-0218	CellCharter	Clustering	0.08040525921172703	3
STOmics0218	scsegindex	500	cellcharter	STOmics-0218	CellCharter	Core overall	0.040989253059721745	3
STOmics0218	scsegindex	500	cellcharter	STOmics-0218	CellCharter	Integration	0.002276484255173999	3
STOmics0218	scsegindex	500	scvi	STOmics-0218	scVI	Clustering	0.18315292181580287	3
STOmics0218	scsegindex	500	scvi	STOmics-0218	scVI	Core overall	0.1355881154363825	3
STOmics0218	scsegindex	500	scvi	STOmics-0218	scVI	Integration	0.08948125554147507	3
STOmics0218	seurat_disp	2000	cellcharter	STOmics-0218	CellCharter	Clustering	0.007423540749178376	3
STOmics0218	seurat_disp	2000	cellcharter	STOmics-0218	CellCharter	Core overall	0.0012279612382280292	3
STOmics0218	seurat_disp	2000	cellcharter	STOmics-0218	CellCharter	Integration	0.008683291871194853	3
STOmics0218	seurat_disp	2000	scvi	STOmics-0218	scVI	Clustering	0.004578207096466565	3
STOmics0218	seurat_disp	2000	scvi	STOmics-0218	scVI	Core overall	0.0028529116108926334	3
STOmics0218	seurat_disp	2000	scvi	STOmics-0218	scVI	Integration	0.0033804436690853643	3
STOmics0218	seurat_mvp	2000	cellcharter	STOmics-0218	CellCharter	Clustering	0.022216195631240998	3
STOmics0218	seurat_mvp	2000	cellcharter	STOmics-0218	CellCharter	Core overall	0.014459433893153276	3
STOmics0218	seurat_mvp	2000	cellcharter	STOmics-0218	CellCharter	Integration	0.006855369329364245	3
STOmics0218	seurat_mvp	2000	scvi	STOmics-0218	scVI	Clustering	0.014449253988449784	3
STOmics0218	seurat_mvp	2000	scvi	STOmics-0218	scVI	Core overall	0.00643340530529316	3
STOmics0218	seurat_mvp	2000	scvi	STOmics-0218	scVI	Integration	0.004840833540278471	3
STOmics0218	seurat_sct	2000	cellcharter	STOmics-0218	CellCharter	Clustering	0.006970300095267744	3
STOmics0218	seurat_sct	2000	cellcharter	STOmics-0218	CellCharter	Core overall	0.004749085100935584	3
STOmics0218	seurat_sct	2000	cellcharter	STOmics-0218	CellCharter	Integration	0.003683882807662512	3
