fs_method	integration_method	task	NRuns	RuntimeMedianSeconds	RuntimeIQRSeconds	RuntimeMaximumSeconds	PeakMemoryMedianGiB	PeakMemoryMaximumGiB
seurat_disp	scvi	clustering_eval	63	43.1099935202	33.09111290425	218.385636773	11.336566925048828	39.47893142700195
seurat_disp	scvi	integration_eval	63	44.8415205516	34.358605066799996	218.5586816324	11.336566925048828	39.47893142700195
seurat_mvp	cellcharter	alignment_eval	18	50.60298520745	15.163728524925006	68.7009311542	12.057065963745117	18.190723419189453
seurat_mvp	cellcharter	clustering_eval	63	58.5350175006	31.128620091849996	98.204753397	11.336566925048828	39.47893142700195
seurat_mvp	cellcharter	integration_eval	63	59.0541559989	31.423393868349997	100.9925129851	11.336566925048828	39.47893142700195
seurat_mvp	scvi	alignment_eval	18	35.4216847294	12.077845738475006	51.4266887186	12.057065963745117	18.190723419189453
seurat_mvp	scvi	clustering_eval	63	41.9033555826	30.364250161199998	80.5060790833	11.336566925048828	39.47893142700195
seurat_mvp	scvi	integration_eval	63	42.9119198741	30.753835475950005	82.6770091541	11.336566925048828	39.47893142700195
seurat_sct	cellcharter	alignment_eval	18	273.14726174625	80.820533911675	519.1186841037	12.375436782836914	19.06957244873047
seurat_sct	cellcharter	clustering_eval	63	334.9963030284	288.6292177913499	740.6718305107	11.336566925048828	39.47893142700195
seurat_sct	cellcharter	integration_eval	63	337.1640132181	287.87039179170006	740.9654673142	11.336566925048828	39.47893142700195
seurat_sct	scvi	alignment_eval	18	256.03364553865	78.01065718195002	485.6926900027	12.27385139465332	18.947505950927734
seurat_sct	scvi	clustering_eval	63	317.5982869826	288.76899649115	718.3141331049	11.336566925048828	39.47893142700195
seurat_sct	scvi	integration_eval	63	319.2989324275	287.9091366184499	718.4951703921	11.336566925048828	39.47893142700195
seurat_vst	cellcharter	alignment_eval	18	59.5933023249	19.918616427575003	186.8207125999	11.870841979980469	18.190723419189453
seurat_vst	cellcharter	clustering_eval	63	60.7073626332	39.12917533424999	187.215947153	11.328483581542969	39.47893142700195
seurat_vst	cellcharter	integration_eval	63	62.5102037359	40.50431501864999	189.4303017361	11.328483581542969	39.47893142700195
seurat_vst	scvi	alignment_eval	18	42.23612939285	18.368050676750002	167.8174389452	11.870841979980469	18.190723419189453
seurat_vst	scvi	clustering_eval	63	43.972984015	38.41423310009999	168.6640670896	11.328483581542969	39.47893142700195
seurat_vst	scvi	integration_eval	63	44.833168231	38.635657078049995	170.3574410425	11.328483581542969	39.47893142700195
singleCellHaystack	cellcharter	alignment_eval	18	115.38547533005	73.66590529074999	370.281540839	16.800090789794922	27.471511840820312
singleCellHaystack	cellcharter	clustering_eval	63	131.8123827549	49.61924767585002	370.9570561284	14.56167984008789	47.63331604003906
singleCellHaystack	cellcharter	integration_eval	63	133.2237446401	50.54415881130001	373.4787016278	14.56167984008789	47.63331604003906
singleCellHaystack	scvi	alignment_eval	18	97.3166146497	73.439148464925	315.8961235769	16.800090789794922	26.785404205322266
singleCellHaystack	scvi	clustering_eval	63	110.0960900467	46.42654477754999	316.8259832328	14.56167984008789	45.51499938964844
singleCellHaystack	scvi	integration_eval	63	110.2906690221	47.566243195900014	319.3422376858	14.56167984008789	45.51499938964844
