Method	Type	SelFeatures	Value	SD	StandardValue
Seurat-VST	Integration	100	0.6551825283750345	1.132828704747977	0.4803568149310566
Seurat-VST	Integration	200	0.6510953126059087	0.8310300144514672	0.22289239191131704
Seurat-VST	Integration	500	0.6548777660372548	0.7541734723271843	0.35523865001385
Seurat-VST	Integration	1000	0.6447331247167429	0.6694619128895913	0.09120132771529763
Seurat-VST	Integration	2000	0.6352023465429131	0.478936785552028	-0.036528355071384744
Seurat-VST	Integration	5000	0.6019358572490519	0.8972041103652942	-0.46092868294334627
Seurat-VST	Integration	10000	0.5795925770735585	1.140655450373348	-0.6522321465567859
Seurat-VST	Clustering	100	0.5758437249658184	1.0295135630598156	-0.8652707701245778
Seurat-VST	Clustering	200	0.6032715741917283	0.7156539355027831	-0.39936888402575077
Seurat-VST	Clustering	500	0.6369104642484706	0.7207584475374251	0.047803615377666905
Seurat-VST	Clustering	1000	0.6678488572504166	0.5549930363482162	0.6587226603632922
Seurat-VST	Clustering	2000	0.6719086314510402	0.5653290474211317	0.6332135748714367
Seurat-VST	Clustering	5000	0.6461500268626033	0.8311631152693016	0.151766844327708
Seurat-VST	Clustering	10000	0.6327164724033807	1.0448450240340927	-0.2268670407897729
Seurat-VST	Alignment	100	0.86335404444429	0.9031464860209448	-0.8862720672876752
Seurat-VST	Alignment	200	0.8732420970193865	0.6880523829785044	-0.47592352283796024
Seurat-VST	Alignment	500	0.9084568772643083	0.29456781303584034	0.6067850705378306
Seurat-VST	Alignment	1000	0.9096986437897661	0.28948357422967674	0.7051884963865033
Seurat-VST	Alignment	2000	0.9122009161987487	0.23984417618155554	0.8534911374414761
Seurat-VST	Alignment	5000	0.8731949409406572	0.5919727259209485	0.049434150884361885
Seurat-VST	Alignment	10000	0.8288649251323926	1.2981180341253318	-0.8527032651245301
Seurat-VST	Overall	100	0.6155131266704265	1.128342295519509	-0.5815126921940582
Seurat-VST	Overall	200	0.6271834433988185	0.7636691399866996	-0.2729847721639537
