Method	IntegrationMethod	Type	Mean	SD	Integration
scanpy-CellRanger (batch) (N=2,000)	cellcharter	CoreOverall	0.6747723397059426	0.06244920587303728	CellCharter
scanpy-CellRanger (batch) (N=2,000)	graphst	Alignment	0.8625648427437378	0.10501574223583801	GraphST
scanpy-CellRanger (batch) (N=2,000)	graphst	Clustering	0.7371239678589481	0.06509634798266642	GraphST
scanpy-CellRanger (batch) (N=2,000)	graphst	Integration	0.5882322182824438	0.1329109716033894	GraphST
scanpy-CellRanger (batch) (N=2,000)	graphst	CoreOverall	0.662678093070696	0.07593070532438238	GraphST
scanpy-CellRanger (batch) (N=2,000)	scvi	Alignment	0.8450980156153609	0.16928420084692525	scVI
scanpy-CellRanger (batch) (N=2,000)	scvi	Clustering	0.5071379752030257	0.20237789072318238	scVI
scanpy-CellRanger (batch) (N=2,000)	scvi	Integration	0.7298788726730052	0.0651836564944436	scVI
scanpy-CellRanger (batch) (N=2,000)	scvi	CoreOverall	0.6185084239380155	0.10372460182654462	scVI
scanpy-Pearson (N=2,000)	cellcharter	Alignment	0.9405652587048947	0.03767257238010712	CellCharter
scanpy-Pearson (N=2,000)	cellcharter	Clustering	0.7338237010664344	0.041873496209633626	CellCharter
scanpy-Pearson (N=2,000)	cellcharter	Integration	0.585465327319449	0.1273842476980985	CellCharter
scanpy-Pearson (N=2,000)	cellcharter	CoreOverall	0.6596445141929417	0.06900518324913366	CellCharter
scanpy-Pearson (N=2,000)	graphst	Alignment	0.8276766967150447	0.12718078794145696	GraphST
scanpy-Pearson (N=2,000)	graphst	Clustering	0.7232840571549443	0.0739000829796535	GraphST
scanpy-Pearson (N=2,000)	graphst	Integration	0.5533068029314102	0.15032802447840157	GraphST
scanpy-Pearson (N=2,000)	graphst	CoreOverall	0.6382954300431772	0.09648136524349579	GraphST
scanpy-Pearson (N=2,000)	scvi	Alignment	0.6743833534255972	0.14132671379604397	scVI
scanpy-Pearson (N=2,000)	scvi	Clustering	0.5567790031310176	0.13107899369264647	scVI
scanpy-Pearson (N=2,000)	scvi	Integration	0.6473407118834941	0.14724847002999622	scVI
scanpy-Pearson (N=2,000)	scvi	CoreOverall	0.6020598575072558	0.08114744294587796	scVI
scanpy-Pearson (batch) (N=2,000)	cellcharter	Alignment	0.9313961038157917	0.04922743413460245	CellCharter
scanpy-Pearson (batch) (N=2,000)	cellcharter	Clustering	0.7089056890553931	0.05165474588856399	CellCharter
scanpy-Pearson (batch) (N=2,000)	cellcharter	Integration	0.616177954888466	0.11490080921882927	CellCharter
scanpy-Pearson (batch) (N=2,000)	cellcharter	CoreOverall	0.6625418219719296	0.07183599977743138	CellCharter
scanpy-Pearson (batch) (N=2,000)	graphst	Alignment	0.8288087465321718	0.12556212459712288	GraphST
scanpy-Pearson (batch) (N=2,000)	graphst	Clustering	0.7027762315239693	0.111963541692951	GraphST
scanpy-Pearson (batch) (N=2,000)	graphst	Integration	0.597789793790757	0.10977445975978482	GraphST
scanpy-Pearson (batch) (N=2,000)	graphst	CoreOverall	0.6502830126573632	0.09865509424776513	GraphST
scanpy-Pearson (batch) (N=2,000)	scvi	Alignment	0.7317981086997043	0.04435188131911924	scVI
scanpy-Pearson (batch) (N=2,000)	scvi	Clustering	0.5154818116821336	0.1531496878326787	scVI
scanpy-Pearson (batch) (N=2,000)	scvi	Integration	0.6559474376210348	0.14819272439230408	scVI
scanpy-Pearson (batch) (N=2,000)	scvi	CoreOverall	0.5857146246515842	0.09463803578704387	scVI
scanpy-Seurat (N=2,000)	cellcharter	Alignment	0.9131448707916492	0.07019312453767275	CellCharter
scanpy-Seurat (N=2,000)	cellcharter	Clustering	0.6848789663882938	0.08289179059256582	CellCharter
scanpy-Seurat (N=2,000)	cellcharter	Integration	0.6376007529997365	0.12145262292472138	CellCharter
scanpy-Seurat (N=2,000)	cellcharter	CoreOverall	0.6612398596940152	0.07455693900465464	CellCharter
scanpy-Seurat (N=2,000)	graphst	Alignment	0.8335390641316494	0.12155689122626256	GraphST
scanpy-Seurat (N=2,000)	graphst	Clustering	0.6940613528443644	0.08307149224158131	GraphST
scanpy-Seurat (N=2,000)	graphst	Integration	0.5731174799858215	0.1439238524187859	GraphST
scanpy-Seurat (N=2,000)	graphst	CoreOverall	0.6335894164150929	0.08982535619009911	GraphST
scanpy-Seurat (N=2,000)	scvi	Alignment	0.8374005769994416	0.15834883830948365	scVI
scanpy-Seurat (N=2,000)	scvi	Clustering	0.5030548991219328	0.21714614347219346	scVI
scanpy-Seurat (N=2,000)	scvi	Integration	0.7303251609951863	0.12101803776186065	scVI
scanpy-Seurat (N=2,000)	scvi	CoreOverall	0.6166900300585596	0.10188632204531928	scVI
scanpy-Seurat (batch) (N=2,000)	cellcharter	Alignment	0.921748398397013	0.061407030435438326	CellCharter
scanpy-Seurat (batch) (N=2,000)	cellcharter	Clustering	0.6830541113950341	0.07910201218166407	CellCharter
scanpy-Seurat (batch) (N=2,000)	cellcharter	Integration	0.633825029079201	0.10603350074568119	CellCharter
scanpy-Seurat (batch) (N=2,000)	cellcharter	CoreOverall	0.6584395702371176	0.07367700695315058	CellCharter
scanpy-Seurat (batch) (N=2,000)	graphst	Alignment	0.8367419659581337	0.12887995185146794	GraphST
scanpy-Seurat (batch) (N=2,000)	graphst	Clustering	0.6929336850724221	0.08294795225266635	GraphST
scanpy-Seurat (batch) (N=2,000)	graphst	Integration	0.5852755284782076	0.13292876614510835	GraphST
scanpy-Seurat (batch) (N=2,000)	graphst	CoreOverall	0.6391046067753149	0.08843684448785155	GraphST
scanpy-Seurat (batch) (N=2,000)	scvi	Alignment	0.8164138327721424	0.08624887145718578	scVI
scanpy-Seurat (batch) (N=2,000)	scvi	Clustering	0.5111077872095892	0.1947284247988172	scVI
scanpy-Seurat (batch) (N=2,000)	scvi	Integration	0.7100665740693112	0.1032496334714705	scVI
scanpy-Seurat (batch) (N=2,000)	scvi	CoreOverall	0.6105871806394502	0.07651288761340667	scVI
