dataset	heldout_slice	method	n_features	seed	evaluation_role	metric	value	runtime_seconds	Metric	Method
STOmics0212	GSM5907093_HE_3	scanpy_seurat_v3_batch	2000	0	heldout_clustering	heldout_ari	0.2331046382855319	0.7860076129436493	ARI	scanpy-SeuratV3 (batch) (N=2,000)
STOmics0212	GSM5907093_HE_3	scanpy_seurat_v3_batch	2000	0	heldout_clustering	heldout_nmi	0.3518749079989564	0.7860076129436493	NMI	scanpy-SeuratV3 (batch) (N=2,000)
STOmics0212	GSM5907093_HE_3	scsegindex	2000	0	heldout_clustering	heldout_ari	0.1214858442442482	215.71891674026847	ARI	scSEGIndex (N=2,000)
STOmics0212	GSM5907093_HE_3	scsegindex	2000	0	heldout_clustering	heldout_nmi	0.1599241562404777	215.71891674026847	NMI	scSEGIndex (N=2,000)
STOmics0212	GSM5907093_HE_3	seurat_vst	2000	0	heldout_clustering	heldout_ari	0.2006543227654414	18.268975565209985	ARI	Seurat-VST (N=2,000)
STOmics0212	GSM5907093_HE_3	seurat_vst	2000	0	heldout_clustering	heldout_nmi	0.3296298819642155	18.268975565209985	NMI	Seurat-VST (N=2,000)
STOmics0212	GSM5907093_HE_3	singleCellHaystack	2000	0	heldout_clustering	heldout_ari	0.1167606064435625	66.93111700285226	ARI	singleCellHaystack (N=2,000)
STOmics0212	GSM5907093_HE_3	singleCellHaystack	2000	0	heldout_clustering	heldout_nmi	0.1750160486509124	66.93111700285226	NMI	singleCellHaystack (N=2,000)
STOmics0212	GSM5907093_HE_3	somde	2000	0	heldout_clustering	heldout_ari	0.2535316688061601	2377.822502294556	ARI	SOMDE (N=2,000)
STOmics0212	GSM5907093_HE_3	somde	2000	0	heldout_clustering	heldout_nmi	0.3282721525987452	2377.822502294556	NMI	SOMDE (N=2,000)
STOmics0212	GSM5907093_HE_3	sparkx	2000	0	heldout_clustering	heldout_ari	0.12680197294097	129.4022580832243	ARI	SPARK-X (N=2,000)
STOmics0212	GSM5907093_HE_3	sparkx	2000	0	heldout_clustering	heldout_nmi	0.1795513201898562	129.4022580832243	NMI	SPARK-X (N=2,000)
STOmics0212	GSM5907093_HE_3	spatialde	2000	0	heldout_clustering	heldout_ari	0.1999278936680533	2114.024495037273	ARI	SpatialDE (N=2,000)
STOmics0212	GSM5907093_HE_3	spatialde	2000	0	heldout_clustering	heldout_nmi	0.269059319539589	2114.024495037273	NMI	SpatialDE (N=2,000)
STOmics0212	GSM5907093_HE_3	triku	2000	0	heldout_clustering	heldout_ari	0.2596262884027043	64.55911168083549	ARI	triku (N=2,000)
STOmics0212	GSM5907093_HE_3	triku	2000	0	heldout_clustering	heldout_nmi	0.3223572654821871	64.55911168083549	NMI	triku (N=2,000)
STOmics0212	GSM5907093_HE_3	wilcoxon	2000	0	heldout_clustering	heldout_ari	0.2481828211981773	65.17157870531082	ARI	Wilcoxon (label-informed) (N=2,000)
STOmics0212	GSM5907093_HE_3	wilcoxon	2000	0	heldout_clustering	heldout_nmi	0.3204768970624947	65.17157870531082	NMI	Wilcoxon (label-informed) (N=2,000)
